|id|name|a1|ratio|random_a1|random_ratio|random|bonus|name_mask|
|15|Простое отжимание|25|0.2|12|12|5|0|MediumBoy|
|16|Ступеньки|40|0.3|12|12|5|0|MediumBoy|
|17|Приседания|25|0.2|12|12|5|0|MediumBoy|
|18|Спринт|2.5|0.05|12|5|5|0|MediumBoy|
|19|Фоновый английский|25|0.2|12|7|5|0|MediumBoy|
|20|Конструктор|2.5|0.05|12|5|5|0|MediumBoy|
|21|Аудио|2.5|0.05|12|5|5|0|MediumBoy|
|22|Кроссворд|1.3|0.05|12|5|5|0|MediumBoy|
|23|Добавление|0.3|0.05|12|4|5|0|MediumBoy|
|24|Грамматика|0.6|0.04|12|4|5|0|MediumBoy|
|25|Грамматика 100%|0.2|0.02|12|4|5|0|MediumBoy|
|12|Подтягивание|4|0.04|13|4|5|0|HighBoy|
|13|И2|120|0.48|13|13|5|0|HighBoy|
|14|И1|60|0.24|13|13|5|0|HighBoy|
|15|Простое отжимание|32|0.22|13|13|5|0|HighBoy|
|16|Ступеньки|45|0.32|13|13|5|0|HighBoy|
|17|Приседания|32|0.22|13|13|5|0|HighBoy|
|18|Спринт|3|0.05|13|5|5|0|HighBoy|
|19|Фоновый английский|28|0.22|13|10|5|0|HighBoy|
|20|Конструктор|3|0.05|13|5|5|0|HighBoy|
|21|Аудио|3|0.05|13|5|5|0|HighBoy|
|22|Кроссворд|2|0.05|13|5|5|0|HighBoy|
|23|Добавление|0.5|0.05|13|4|5|0|HighBoy|
|24|Грамматика|0.9|0.04|13|4|5|0|HighBoy|
|25|Грамматика 100%|0.4|0.02|13|4|5|0|HighBoy|
|12|Подтягивание|5|0.05|13|13|6|0|VeryHighBoy|
|13|И2|130|0.5|13|13|6|0|VeryHighBoy|
|14|И1|65|0.25|13|13|6|0|VeryHighBoy|
|15|Простое отжимание|40|0.3|13|4|6|0|VeryHighBoy|
|16|Ступеньки|54|0.38|13|13|6|0|VeryHighBoy|
|17|Приседания|40|0.3|13|13|6|0|VeryHighBoy|
|18|Спринт|4|0.06|13|6|6|0|VeryHighBoy|
|19|Фоновый английский|36|0.25|13|11|6|0|VeryHighBoy|
|20|Конструктор|4|0.06|13|6|6|0|VeryHighBoy|
|21|Аудио|4|0.06|13|6|6|0|VeryHighBoy|
|22|Кроссворд|2.5|0.06|13|6|6|0|VeryHighBoy|
|23|Добавление|0.7|0.05|13|4|6|0|VeryHighBoy|
|24|Грамматика|1|0.05|13|4|6|0|VeryHighBoy|
|25|Грамматика 100%|0.6|0.02|13|4|6|0|VeryHighBoy|
|12|Подтягивание|6.5|0.06|15|5|6|0|SuperBoy|
|13|И2|150|0.7|15|15|6|0|SuperBoy|
|14|И1|75|0.35|15|15|6|0|SuperBoy|
|15|Простое отжимание|50|0.4|15|15|6|0|SuperBoy|
|16|Ступеньки|72|0.45|15|15|6|0|SuperBoy|
|17|Приседания|50|0.4|15|15|6|0|SuperBoy|
|18|Спринт|5|0.07|15|6|6|0|SuperBoy|
|19|Фоновый английский|41|0.28|15|15|6|0|SuperBoy|
|20|Конструктор|5|0.07|15|6|6|0|SuperBoy|
|21|Аудио|5|0.07|15|6|6|0|SuperBoy|
|22|Кроссворд|4|0.06|15|6|6|0|SuperBoy|
|23|Добавление|1|0.05|15|4|6|0|SuperBoy|
|24|Грамматика|1.5|0.05|15|4|6|0|SuperBoy|
|25|Грамматика 100%|0.9|0.02|15|4|6|0|SuperBoy|
|12|Подтягивание|0.5|0.02|100|17|30|0|RandomBoyA|
|13|И2|50|0.2|220|25|40|0|RandomBoyA|
|14|И1|25|0.1|200|20|40|0|RandomBoyA|
|15|Простое отжимание|20|0.2|150|20|40|0|RandomBoyA|
|16|Ступеньки|32|0.2|200|20|40|0|RandomBoyA|
|17|Приседания|20|0.2|150|20|40|0|RandomBoyA|
|18|Спринт|1|0.02|80|15|30|0|RandomBoyA|
|19|Фоновый английский|11|0.1|120|15|30|0|RandomBoyA|
|20|Конструктор|1|0.02|80|15|30|0|RandomBoyA|
|21|Аудио|1|0.02|80|15|30|0|RandomBoyA|
|22|Кроссворд|1|0.02|80|15|30|0|RandomBoyA|
|23|Добавление|0|0.01|55|8|30|0|RandomBoyA|
|24|Грамматика|0|0.01|55|8|30|0|RandomBoyA|
|25|Грамматика 100%|0|0.01|55|8|30|0|RandomBoyA|
|12|Подтягивание|1|0.02|100|17|100|0|RandomBoyB|
|13|И2|90|0.2|220|25|100|0|RandomBoyB|
|14|И1|45|0.1|200|20|100|0|RandomBoyB|
|15|Простое отжимание|30|0.2|150|20|100|0|RandomBoyB|
|16|Ступеньки|45|0.2|200|20|100|0|RandomBoyB|
|17|Приседания|30|0.2|150|20|100|0|RandomBoyB|
|18|Спринт|1.2|0.02|80|15|100|0|RandomBoyB|
|19|Фоновый английский|16|0.1|120|15|100|0|RandomBoyB|
|20|Конструктор|1.2|0.02|80|15|100|0|RandomBoyB|
|21|Аудио|1.2|0.02|80|15|100|0|RandomBoyB|
|22|Кроссворд|1.2|0.02|80|15|100|0|RandomBoyB|
|23|Добавление|0.3|0.01|55|8|100|0|RandomBoyB|
|24|Грамматика|0.3|0.01|55|8|100|0|RandomBoyB|
|25|Грамматика 100%|0.3|0.01|55|8|100|0|RandomBoyB|
|12|Подтягивание|1.7|0.02|10|4|8|5|VeryLowGirl|
|13|И2|72|0.4|14|12|9|5|VeryLowGirl|
|14|И1|36|0.2|14|12|9|5|VeryLowGirl|
|15|Простое отжимание|17|0.15|12|10|7|5|VeryLowGirl|
|16|Ступеньки|28|0.26|12|10|7|5|VeryLowGirl|
|17|Приседания|18|0.15|12|10|7|5|VeryLowGirl|
|18|Спринт|2.5|0.02|12|6|8|5|VeryLowGirl|
|19|Фоновый английский|18|0.16|12|5|7|5|VeryLowGirl|
|20|Конструктор|2.6|0.02|12|6|7|5|VeryLowGirl|
|21|Аудио|2.6|0.02|12|6|7|5|VeryLowGirl|
|22|Кроссворд|1.4|0.02|12|6|7|5|VeryLowGirl|
|23|Добавление|0.3|0.01|14|5|7|5|VeryLowGirl|
|24|Грамматика|0.3|0.02|14|5|7|5|VeryLowGirl|
|25|Грамматика 100%|0.2|0.01|12|5|7|5|VeryLowGirl|
|12|Подтягивание|2.5|0.02|14|4|5|5|LowGirl|
|13|И2|100|0.44|12|12|5|5|LowGirl|
|14|И1|50|0.22|12|12|5|5|LowGirl|
|15|Простое отжимание|24|0.22|12|10|5|5|LowGirl|
|16|Ступеньки|38|0.27|14|10|5|5|LowGirl|
|17|Приседания|24|0.22|12|10|5|5|LowGirl|
|18|Спринт|3|0.04|12|6|6|5|LowGirl|
|19|Фоновый английский|24|0.2|12|6|6|5|LowGirl|
|20|Конструктор|3|0.04|12|6|6|5|LowGirl|
|21|Аудио|3|0.04|12|6|6|5|LowGirl|
|22|Кроссворд|1.7|0.04|14|6|6|5|LowGirl|
|23|Добавление|0.4|0.03|14|5|7|5|LowGirl|
|24|Грамматика|0.5|0.03|14|5|7|5|LowGirl|
|25|Грамматика 100%|0.3|0.02|14|4|7|5|LowGirl|
|12|Подтягивание|4.1|0.04|14|4|5|5|MediumGirl|
|13|И2|130|0.48|14|12|5|5|MediumGirl|
|14|И1|65|0.24|14|12|5|5|MediumGirl|
|15|Простое отжимание|36|0.22|14|12|5|5|MediumGirl|
|16|Ступеньки|48|0.4|14|12|5|5|MediumGirl|
|17|Приседания|36|0.22|14|12|5|5|MediumGirl|
|18|Спринт|3.3|0.05|12|5|5|5|MediumGirl|
|19|Фоновый английский|35|0.25|12|7|5|5|MediumGirl|
|20|Конструктор|3.4|0.05|12|5|8|5|MediumGirl|
|21|Аудио|3.5|0.05|12|5|8|5|MediumGirl|
|22|Кроссворд|2|0.05|12|5|7|5|MediumGirl|
|23|Добавление|0.5|0.04|12|5|5|5|MediumGirl|
|24|Грамматика|0.9|0.04|12|5|5|5|MediumGirl|
|25|Грамматика 100%|0.6|0.02|12|5|5|5|MediumGirl|
|12|Подтягивание|4.8|0.04|13|4|5|5|HighGirl|
|13|И2|150|0.5|13|13|5|5|HighGirl|
|14|И1|75|0.25|13|13|5|5|HighGirl|
|15|Простое отжимание|41|0.25|15|13|5|5|HighGirl|
|16|Ступеньки|55|0.36|13|13|7|5|HighGirl|
|17|Приседания|42|0.25|14|13|5|5|HighGirl|
|18|Спринт|3.8|0.05|13|5|8|5|HighGirl|
|19|Фоновый английский|38|0.25|15|10|8|5|HighGirl|
|20|Конструктор|4|0.05|13|5|8|5|HighGirl|
|21|Аудио|4|0.05|13|5|8|5|HighGirl|
|22|Кроссворд|2.4|0.05|13|5|9|5|HighGirl|
|23|Добавление|0.7|0.05|13|4|7|5|HighGirl|
|24|Грамматика|1|0.04|13|4|7|5|HighGirl|
|25|Грамматика 100%|0.5|0.02|13|4|7|5|HighGirl|
|12|Подтягивание|5.4|0.05|13|13|6|5|VeryHighGirl|
|13|И2|160|0.58|13|13|6|5|VeryHighGirl|
|14|И1|80|0.29|13|13|6|5|VeryHighGirl|
|15|Простое отжимание|48|0.34|13|4|7|5|VeryHighGirl|
|16|Ступеньки|64|0.4|13|13|6|5|VeryHighGirl|
|17|Приседания|48|0.34|13|13|7|5|VeryHighGirl|
|18|Спринт|4.4|0.06|13|6|6|5|VeryHighGirl|
|19|Фоновый английский|45|0.28|13|11|6|5|VeryHighGirl|
|20|Конструктор|4.5|0.06|13|6|8|5|VeryHighGirl|
|21|Аудио|4.4|0.06|13|6|6|5|VeryHighGirl|
|22|Кроссворд|3|0.06|13|6|9|5|VeryHighGirl|
|23|Добавление|1|0.05|13|4|6|5|VeryHighGirl|
|24|Грамматика|1.4|0.05|13|4|6|5|VeryHighGirl|
|25|Грамматика 100%|0.8|0.02|13|7|6|5|VeryHighGirl|
|12|Подтягивание|7.5|0.06|15|5|6|5|SuperGirl|
|13|И2|200|0.8|15|15|6|5|SuperGirl|
|14|И1|100|0.4|15|15|6|5|SuperGirl|
|15|Простое отжимание|54|0.44|15|15|6|5|SuperGirl|
|16|Ступеньки|87|0.5|15|15|6|5|SuperGirl|
|17|Приседания|54|0.44|15|15|6|5|SuperGirl|
|18|Спринт|5.5|0.07|15|6|6|5|SuperGirl|
|19|Фоновый английский|51|0.31|15|15|6|5|SuperGirl|
|20|Конструктор|6|0.07|15|6|6|5|SuperGirl|
|21|Аудио|6|0.07|15|6|6|5|SuperGirl|
|22|Кроссворд|4.8|0.06|15|6|6|5|SuperGirl|
|23|Добавление|1.5|0.05|15|4|6|5|SuperGirl|
|24|Грамматика|2|0.05|15|4|6|5|SuperGirl|
|25|Грамматика 100%|1.1|0.02|15|4|6|5|SuperGirl|
|12|Подтягивание|0.5|0.03|150|22|70|5|RandomGirlA|
|13|И2|50|0.2|320|25|70|5|RandomGirlA|
|14|И1|25|0.1|300|25|70|5|RandomGirlA|
|15|Простое отжимание|20|0.2|150|30|90|5|RandomGirlA|
|16|Ступеньки|32|0.2|200|30|90|5|RandomGirlA|
|17|Приседания|20|0.2|150|30|90|5|RandomGirlA|
|18|Спринт|1.2|0.02|120|15|70|5|RandomGirlA|
|19|Фоновый английский|13|0.1|160|16|70|5|RandomGirlA|
|20|Конструктор|1.6|0.02|110|15|70|5|RandomGirlA|
|21|Аудио|1.6|0.02|110|15|70|5|RandomGirlA|
|22|Кроссворд|1.2|0.02|80|15|70|5|RandomGirlA|
|23|Добавление|0.4|0.01|75|8|70|5|RandomGirlA|
|24|Грамматика|0.4|0.01|75|8|70|5|RandomGirlA|
|25|Грамматика 100%|0.2|0.01|75|8|70|5|RandomGirlA|
|12|Подтягивание|1|0.02|100|17|120|5|RandomGirlB|
|13|И2|110|0.2|220|25|120|5|RandomGirlB|
|14|И1|55|0.1|200|20|120|5|RandomGirlB|
|15|Простое отжимание|36|0.2|150|25|120|5|RandomGirlB|
|16|Ступеньки|52|0.2|200|24|120|5|RandomGirlB|
|17|Приседания|36|0.2|150|24|120|5|RandomGirlB|
|18|Спринт|1.4|0.02|80|15|120|5|RandomGirlB|
|19|Фоновый английский|19|0.1|140|15|120|5|RandomGirlB|
|20|Конструктор|1.4|0.02|90|15|120|5|RandomGirlB|
|21|Аудио|1.4|0.02|90|15|120|5|RandomGirlB|
|22|Кроссворд|1.4|0.02|80|15|120|5|RandomGirlB|
|23|Добавление|0.35|0.01|55|8|120|5|RandomGirlB|
|24|Грамматика|0.35|0.01|55|8|120|5|RandomGirlB|
|25|Грамматика 100%|0.35|0.01|55|8|120|5|RandomGirlB|
