|id|name|a1|ratio|init_value|Type|bonus|random|id_player|	
|18|Спринт|4|0.02|0|E|0|2|345|
|19|Фоновый английский|30|0.17|0|E|0|2|345|
|20|Конструктор|3|0.03|0|E|0|2|345|
|21|Аудио|6|0.02|0|E|0|2|345|
|22|Кроссворд|2|0.04|0|E|0|2|345|
|23|Добавление|1|0.05|0|E|0|2|345|
|24|Грамматика|1|0.03|0|E|0|2|345|
|25|Грамматика 100%|1|0.02|0|E|0|2|345|
|12|Подтягивание|4|0.06|0|P|0|2|346|
|13|И2|120|1.2|0|P|0|2|346|
|14|И1|60|0.6|0|P|0|2|346|
|15|Простое отжимание|35|0.4|0|P|0|2|346|
|16|Ступеньки|60|0.65|0|P|0|2|346|
|17|Приседания|35|0.4|0|P|0|2|346|
|18|Спринт|4|0.07|0|E|0|2|346|
|19|Фоновый английский|30|0.25|0|E|0|2|346|
|20|Конструктор|4|0.09|0|E|0|2|346|
|21|Аудио|4|0.08|0|E|0|2|346|
|22|Кроссворд|2|0.1|0|E|0|2|346|
|23|Добавление|1|0.05|0|E|0|2|346|
|24|Грамматика|1|0.03|0|E|0|2|346|
|25|Грамматика 100%|1|0.03|0|E|0|2|346|
|12|Подтягивание|2|0.08|0|P|0|2|347|
|13|И2|100|1.5|0|P|0|2|347|
|14|И1|50|0.75|0|P|0|2|347|
|15|Простое отжимание|30|0.7|0|P|0|2|347|
|16|Ступеньки|50|1|0|P|0|2|347|
|17|Приседания|30|0.7|0|P|0|2|347|
|18|Спринт|2|0.1|0|E|0|2|347|
|19|Фоновый английский|20|0.4|0|E|0|2|347|
|20|Конструктор|2|0.1|0|E|0|2|347|
|21|Аудио|2|0.1|0|E|0|2|347|
|22|Кроссворд|1|0.1|0|E|0|2|347|
|23|Добавление|0|0.1|0|E|0|2|347|
|24|Грамматика|0|0.1|0|E|0|2|347|
|25|Грамматика 100%|0|0.07|0|E|0|2|347|
|12|Подтягивание|4|0.02|0|P|0|2|348|
|13|И2|120|1|0|P|0|2|348|
|14|И1|60|0.5|0|P|0|2|348|
|15|Простое отжимание|40|0.3|0|P|0|2|348|
|16|Ступеньки|50|0.5|0|P|0|2|348|
|17|Приседания|40|0.3|0|P|0|2|348|
|18|Спринт|3|0.05|0|E|0|2|348|
|19|Фоновый английский|28|0.2|0|E|0|2|348|
|20|Конструктор|4|0.03|0|E|0|2|348|
|21|Аудио|3|0.03|0|E|0|2|348|
|22|Кроссворд|2|0.04|0|E|0|2|348|
|23|Добавление|1|0.02|0|E|0|2|348|
|24|Грамматика|1|0.02|0|E|0|2|348|
|25|Грамматика 100%|1|0.02|0|E|0|2|348|
|12|Подтягивание|2|0.03|0|P|0|10|349|
|13|И2|80|0.4|0|P|0|10|349|
|14|И1|40|0.2|0|P|0|10|349|
|15|Простое отжимание|20|0.1|0|P|0|10|349|
|16|Ступеньки|30|0.1|0|P|0|10|349|
|17|Приседания|20|0.1|0|P|0|10|349|
|18|Спринт|2|0.01|0|E|0|10|349|
|19|Фоновый английский|20|0.05|0|E|0|10|349|
|20|Конструктор|2|0.02|0|E|0|10|349|
|21|Аудио|2|0.02|0|E|0|10|349|
|22|Кроссворд|2|0.02|0|E|0|10|349|
|23|Добавление|1|0.01|0|E|0|10|349|
|24|Грамматика|0|0.01|0|E|0|10|349|
|25|Грамматика 100%|0|0.01|0|E|0|10|349|
|12|Подтягивание|5|0.01|0|P|0|2|350|
|13|И2|120|0.2|0|P|0|2|350|
|14|И1|60|0.1|0|P|0|2|350|
|15|Простое отжимание|40|0.05|0|P|0|2|350|
|16|Ступеньки|60|0.12|0|P|0|2|350|
|17|Приседания|40|0.05|0|P|0|2|350|
|18|Спринт|3|0.01|0|E|0|2|350|
|19|Фоновый английский|20|0.1|0|E|0|2|350|
|20|Конструктор|3|0.01|0|E|0|2|350|
|21|Аудио|4|0.01|0|E|0|2|350|
|22|Кроссворд|3|0.01|0|E|0|2|350|
|23|Добавление|1|0.01|0|E|0|2|350|
|24|Грамматика|1|0.01|0|E|0|2|350|
|25|Грамматика 100%|1|0.01|0|E|0|2|350|
